model,seed,lr,batch_size,epochs,val_ce,val_acc,val_f1,val_macro_f1
roberta-large,78516,2e-05,8,20,1.5887,0.7121,0.7068,0.6753
roberta-large,78516,1e-05,8,11,1.0969,0.5303,0.3675,0.231
roberta-large,78516,5e-06,8,14,1.1314,0.7399,0.7449,0.7232
roberta-large,944601,2e-05,32,25,1.5649,0.7222,0.7223,0.7083
roberta-large,944601,1e-05,32,21,1.0978,0.4343,0.3851,0.3378
roberta-large,944601,5e-06,32,17,1.0613,0.7197,0.7219,0.7126
roberta-large,944601,2e-05,16,16,1.3861,0.7323,0.7336,0.72
roberta-large,944601,1e-05,16,24,1.5049,0.7475,0.7479,0.735
roberta-large,944601,5e-06,16,18,1.4909,0.7096,0.7131,0.7018
roberta-large,944601,2e-05,8,17,1.5902,0.6768,0.6794,0.6599
roberta-large,944601,1e-05,8,19,1.4382,0.7374,0.7387,0.7237
roberta-large,944601,5e-06,8,15,1.2961,0.7222,0.7219,0.7042
flang-bert,5768,2e-05,32,13,1.4541,0.6641,0.6655,0.6407
flang-bert,5768,1e-05,32,34,2.0451,0.6641,0.6669,0.6483
flang-bert,5768,5e-06,32,42,1.9686,0.6591,0.6649,0.646
flang-bert,5768,2e-05,16,11,1.1804,0.6338,0.638,0.6176
flang-bert,5768,1e-05,16,11,0.956,0.6439,0.6489,0.6338
flang-bert,5768,5e-06,16,28,1.8456,0.6364,0.6416,0.6237
flang-bert,5768,2e-05,8,19,2.0088,0.654,0.6557,0.6347
flang-bert,5768,1e-05,8,12,1.2588,0.6465,0.6518,0.6368
flang-bert,5768,5e-06,8,20,1.743,0.6515,0.6541,0.633
flang-bert,78516,2e-05,32,10,0.885,0.6692,0.6672,0.6351
flang-bert,78516,1e-05,32,15,1.3472,0.6591,0.6598,0.6242
flang-bert,78516,5e-06,32,28,1.725,0.6667,0.6667,0.6278
flang-bert,78516,2e-05,16,16,1.3988,0.6894,0.6944,0.6664
flang-bert,78516,1e-05,16,10,0.8382,0.6616,0.669,0.6427
flang-bert,78516,5e-06,16,15,1.0657,0.6616,0.6676,0.6361
flang-bert,78516,2e-05,8,12,1.1873,0.6667,0.6764,0.6599
flang-bert,78516,1e-05,8,10,0.8739,0.6818,0.6807,0.6444
flang-bert,78516,5e-06,8,23,1.7298,0.6919,0.6925,0.6609
flang-bert,944601,2e-05,32,28,1.7458,0.697,0.6996,0.6741
flang-bert,944601,1e-05,32,17,1.4035,0.6692,0.6708,0.6448
flang-bert,944601,5e-06,32,23,1.4274,0.6742,0.6776,0.6522
flang-bert,944601,2e-05,16,22,1.5295,0.7045,0.7085,0.6923
flang-bert,944601,1e-05,16,19,1.4923,0.697,0.7002,0.6792
flang-bert,944601,5e-06,16,19,1.3556,0.6692,0.6733,0.6473
flang-bert,944601,2e-05,8,13,1.4169,0.6692,0.6717,0.6513
flang-bert,944601,1e-05,8,11,0.9651,0.6843,0.6846,0.6586
flang-bert,944601,5e-06,8,18,1.4561,0.6692,0.6731,0.649
flang-roberta,5768,2e-05,32,18,1.5483,0.6591,0.6605,0.6471
flang-roberta,5768,1e-05,32,14,1.0036,0.6389,0.6429,0.6292
flang-roberta,5768,5e-06,32,28,1.4208,0.649,0.6525,0.6391
